tripdurationseconds,tripdurationminutes,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
362,6,9/1/17 0:00,9/1/17 0:06,3331,Riverside Dr & W 104 St,40.8013434,-73.97114574,3328,W 100 St & Manhattan Ave,40.795,-73.9645,14530,Subscriber,1993,Male
188,3,9/1/17 0:00,9/1/17 0:03,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,3100,Nassau Ave & Newell St,40.72481256,-73.94752622,15475,Subscriber,1988,Male
305,5,9/1/17 0:00,9/1/17 0:05,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3141,1 Ave & E 68 St,40.76500525,-73.95818491,30346,Subscriber,1969,Male
223,4,9/1/17 0:00,9/1/17 0:04,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,473,Rivington St & Chrystie St,40.72110063,-73.9919254,28056,Subscriber,1993,Male
758,13,9/1/17 0:01,9/1/17 0:13,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,3431,E 35 St & 3 Ave,40.746524,-73.977885,25413,Subscriber,1987,Male
2089,35,9/1/17 0:01,9/1/17 0:36,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,17584,Subscriber,1975,Female
121,2,9/1/17 0:01,9/1/17 0:03,3357,W 106 St & Amsterdam Ave,40.8008363,-73.96644925,3343,W 107 St & Columbus Ave,40.7997568,-73.96211287,28581,Subscriber,1990,Male
408,7,9/1/17 0:01,9/1/17 0:08,470,W 20 St & 8 Ave,40.74345335,-74.00004031,388,W 26 St & 10 Ave,40.74971775,-74.00295035,30470,Subscriber,1961,Male
485,8,9/1/17 0:01,9/1/17 0:09,513,W 56 St & 10 Ave,40.768254,-73.988639,529,W 42 St & 8 Ave,40.7575699,-73.99098507,18150,Subscriber,1984,Male
220,4,9/1/17 0:01,9/1/17 0:05,405,Washington St & Gansevoort St,40.739323,-74.008119,358,Christopher St & Greenwich St,40.73291553,-74.00711384,28200,Subscriber,1992,Male
1111,19,9/1/17 0:01,9/1/17 0:20,412,Forsyth St & Canal St,40.7158155,-73.99422366,497,E 17 St & Broadway,40.73704984,-73.99009296,29803,Subscriber,2000,Female
894,15,9/1/17 0:01,9/1/17 0:16,412,Forsyth St & Canal St,40.7158155,-73.99422366,253,W 13 St & 5 Ave,40.73543934,-73.99453948,26672,Subscriber,NULL,Unknown
763,13,9/1/17 0:01,9/1/17 0:14,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,3461,Murray St & Greenwich St,40.71485151,-74.01122332,14708,Subscriber,1992,Male
1321,22,9/1/17 0:01,9/1/17 0:24,401,Allen St & Rivington St,40.72019576,-73.98997825,514,12 Ave & W 40 St,40.76087502,-74.00277668,30010,Subscriber,1977,Female
953,16,9/1/17 0:02,9/1/17 0:17,434,9 Ave & W 18 St,40.74317449,-74.00366443,312,Allen St & Stanton St,40.722055,-73.989111,25241,Subscriber,1974,Female
1326,22,9/1/17 0:02,9/1/17 0:24,507,E 25 St & 2 Ave,40.73912601,-73.97973776,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,20025,Customer,NULL,Unknown
815,14,9/1/17 0:02,9/1/17 0:15,412,Forsyth St & Canal St,40.7158155,-73.99422366,382,University Pl & E 14 St,40.73492695,-73.99200509,30184,Subscriber,1999,Male
258,4,9/1/17 0:02,9/1/17 0:06,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,3290,E 89 St & York Ave,40.7779453,-73.946041,16511,Subscriber,1982,Female
515,9,9/1/17 0:02,9/1/17 0:10,312,Allen St & Stanton St,40.722055,-73.989111,382,University Pl & E 14 St,40.73492695,-73.99200509,16262,Subscriber,1989,Male
621,10,9/1/17 0:02,9/1/17 0:12,285,Broadway & E 14 St,40.73454567,-73.99074142,266,Avenue D & E 8 St,40.72368361,-73.97574813,25979,Subscriber,1981,Male
455,8,9/1/17 0:02,9/1/17 0:09,479,9 Ave & W 45 St,40.76019252,-73.9912551,448,W 37 St & 10 Ave,40.75660359,-73.9979009,25463,Subscriber,1990,Female
2424,40,9/1/17 0:02,9/1/17 0:42,527,E 33 St & 2 Ave,40.744023,-73.976056,394,E 9 St & Avenue C,40.72521311,-73.97768752,30498,Subscriber,1988,Male
372,6,9/1/17 0:02,9/1/17 0:08,346,Bank St & Hudson St,40.73652889,-74.00618026,3224,W 13 St & Hudson St,40.73997354,-74.00513873,17512,Subscriber,1993,Male
763,13,9/1/17 0:02,9/1/17 0:15,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,20235,Subscriber,1977,Female
408,7,9/1/17 0:02,9/1/17 0:09,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,16168,Subscriber,1983,Female
398,7,9/1/17 0:02,9/1/17 0:09,450,W 49 St & 8 Ave,40.76227205,-73.98788205,480,W 53 St & 10 Ave,40.76669671,-73.99061728,30507,Subscriber,1976,Male
1499,25,9/1/17 0:03,9/1/17 0:28,238,Bank St & Washington St,40.7361967,-74.00859207,518,E 39 St & 2 Ave,40.74780373,-73.9734419,28602,Subscriber,1978,Male
461,8,9/1/17 0:03,9/1/17 0:10,346,Bank St & Hudson St,40.73652889,-74.00618026,128,MacDougal St & Prince St,40.72710258,-74.00297088,29878,Subscriber,1977,Male
1013,17,9/1/17 0:03,9/1/17 0:20,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3285,W 87 St  & Amsterdam Ave,40.78839,-73.9747,28755,Subscriber,1967,Male
217,4,9/1/17 0:03,9/1/17 0:06,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,25443,Subscriber,1990,Male
195,3,9/1/17 0:03,9/1/17 0:06,519,Pershing Square North,40.751873,-73.977706,3431,E 35 St & 3 Ave,40.746524,-73.977885,28231,Subscriber,1985,Male
1187,20,9/1/17 0:03,9/1/17 0:23,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,251,Mott St & Prince St,40.72317958,-73.99480012,29056,Subscriber,1977,Male
290,5,9/1/17 0:03,9/1/17 0:08,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,3421,Hoyt St & Warren St,40.6843549,-73.98901629,26014,Subscriber,1967,Male
1144,19,9/1/17 0:03,9/1/17 0:22,296,Division St & Bowery,40.71413089,-73.9970468,476,E 31 St & 3 Ave,40.74394314,-73.97966069,29962,Subscriber,1989,Female
598,10,9/1/17 0:03,9/1/17 0:13,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,3224,W 13 St & Hudson St,40.73997354,-74.00513873,25785,Subscriber,1994,Male
350,6,9/1/17 0:03,9/1/17 0:09,474,5 Ave & E 29 St,40.7451677,-73.98683077,379,W 31 St & 7 Ave,40.749156,-73.9916,25792,Subscriber,1975,Male
875,15,9/1/17 0:03,9/1/17 0:18,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,30324,Subscriber,1984,Male
631,11,9/1/17 0:03,9/1/17 0:14,476,E 31 St & 3 Ave,40.74394314,-73.97966069,434,9 Ave & W 18 St,40.74317449,-74.00366443,15380,Subscriber,1994,Female
